value_make,value_model,value_variant,value_year,value_petrol,value_transmission,value_mileage,value_first_owner,itemPrice,itemTitle,itemDescriptionContent,locality,district,State
Mahindra,Xylo,D2 BS IV,2010.0,Diesel,Manual,160000,First,423000,"Chevrolet Tavera Neo SS D1 8-Str BS-III, 2013, Diesel","ADDITIONAL VEHICLE INFORMATION:
Color: Gold
Air Conditioning: With Heater
USB Compatibility: Yes
Service History: Not Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: New
Power steering: Yes
Adjustable Steering: Yes
Make Month: October
Lock System: Central
Tyre Condition: New",Nungambakkam, Chennai, Tamil Nadu
Maruti Suzuki,A-Star,,2010.0,Petrol,Manual,138925,,240000,Chevrolet Beat LT- Top model full company maintenance,"currency : inr, variant: zxi, number of previous owners : first, insurance :comprehensive, registrations number : null
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Registration Place: TN
Insurance Type: Comprehensive
Make Month: January
Vehicle Certified: No",Trichy City, Tiruchirappalli, Tamil Nadu
Volkswagen,Vento,2010-2013 Diesel Highline,2011.0,Diesel,Manual,82000,First,465000,"Volkswagen Vento Highline Diesel, 2014, Diesel","AC PS PW CL ABS AIRBAGS ALLOY WHEEL COMPANY SERVICE RECORD LOCATION; PUDUKKOTTAI (DIS) KARAMBAKKUDI VANIYA STREET. GAS OFFICE OPPOSIT COMPANY MUSIC SYSTEM FULL INSURANCE COMPANY maintenance all paper current SUNDAY OFFICE OPEN
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: White
Air Conditioning: Automatic Climate Control
Aux Compatibility: Yes
USB Compatibility: Yes
Service History: Available
Anti Theft Device: Yes
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Parking Sensors: Yes
Rear Parking Camera: Yes
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Display Screen: Yes
Adjustable External Mirror: Power
Exchange: Yes
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
ABS: Yes
Power steering: Yes
Adjustable Steering: Yes
Make Month: March
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: 2 airbags",Thillai Nagar, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,2018.0,Petrol,Manual,25000,First,385000,2015 Hyundai I10 petrol 36000 Kms,"EECO WITH A/C + HTR 2018 Single owner 25000 Kilometres only Leather seats
ADDITIONAL VEHICLE INFORMATION:
Make Month: September
Color: White
Type of Car: Luxury
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No",Terkku Vasal, Madurai, Tamil Nadu
Toyota,Innova,2004-2011 2.0 V,2014.0,Diesel,Manual,62000,First,1375000,"Toyota INNOVA CRYSTA 2.4 GX Manual 8S, 2016, Diesel","ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: SUV
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: December",Nungambakkam, Chennai, Tamil Nadu
Renault,KWID,RXT,2016.0,Petrol,Manual,98000,First,395000,Ford Figo 2015 Diesel Well Maintained,KWID with good condition and good maintance,Kailash Nagar, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Wagon R,LXI,2006.0,Petrol,Manual,71000,First,75000,Good condition,"single owner
good condition
genuine vehicle",Perambur, Chennai, Tamil Nadu
Maruti Suzuki,Alto 800,2012-2016 LXI,2014.0,Petrol,Manual,38000,Second,240000,"Maruti Suzuki Alto 800 Lxi, 2014, Petrol","Pkka Conditoin Car 2nd Owner Madurai Address Original Paint Engine 100% Chill AC Power Steering Power Windows Very Good Tyres
Low Bargainer / Dealers Dont Call
Ready Cash Buyer Call Me
All Docment Very Clear
ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Air Conditioning: With Heater
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Display Screen: Yes
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: October
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New",Mullai Nagar, Madurai, Tamil Nadu
Hyundai,Grand I 10,,2018.0,Petrol,Manual,7000,First,550000,"Hyundai Xcent SX 1.2, 2015, Diesel","Grand i10 SPORTS 2018-19 Single owner Just 7000 kilometres only Madurai registration Dual Airbags, Abs OVRM MIRRORS Touch screen system Reverse camera with sensor Steering mount control
ADDITIONAL VEHICLE INFORMATION:
Make Month: December
Color: Red
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Power steering: Yes
Automatic Boot: Yes
Air Conditioning: With Heater
Power Windows: Front & rear
Fog Lamps: Yes
Adjustable External Mirror: Power
Display Screen: Yes
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes
Exchange: Yes",Terkku Vasal, Madurai, Tamil Nadu
Mahindra,XUV500,W10 2WD,2016.0,Diesel,Manual,100500,First,1025000,"Toyota Fortuner 3.0 4x4 Manual, 2009, Diesel","2015/16 XUV500 W10,
Single owner,
Km 1,00,500 driven,
M-hawk 2.2 engine,
8 airbags,
ABS,
Anti theft device,
Climatic control A/C,
Adjustable power steering,
Touch screen with audio,
Rain mode sensor,
Leather seats,
Auto folding mirrors with adjustable
Cruise control,
Sunroof,
DRL with projector headlamps,
Fog lamps,
Rear parking sensor with camera,
Rear wiper with defogger,
17 inch alloy wheels with new tyres,
Full insurance,
Full Company service,
showroom condition car,
Finance and exchange facilities available.
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
USB Compatibility: Yes
AM/FM Radio: Yes
Rear Parking Camera: Yes
Cruise Control: Yes
Warranty: Yes
Engine Capacity/Displacement (in Cc): 2200
Fog Lamps: Yes
Navigation System: Yes
Interior color: Beige
Adjustable External Mirror: Power
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: September
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Insurance: Yes
Color: Silver
Air Conditioning: Automatic Climate Control
Anti Theft Device: Yes
Service History: Available
Registration Place: TN
Accidental: No
Parking Sensors: Yes
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Display Screen: Yes
Finance: Yes
Exchange: Yes
Type of Car: MUV
Battery Condition: New
ABS: Yes
Bluetooth: Yes
Sunroof: Yes
Number of Airbags: 8 airbags",Palanganatham, Madurai, Tamil Nadu
Hyundai,i10,Sportz 1.2 Kappa2,2009.0,Petrol,Manual,40000,First,250000,"Hyundai I10 Sportz 1.2 Automatic, 2011, Petrol","company maintenance good condition
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Grey
Air Conditioning: Without Heater
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Finance: Yes
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: September
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New",Chennai Central, Chennai, Tamil Nadu
Mercedes-Benz,E-Class,E 220 CDI Avantgarde,2013.0,Diesel,Automatic,52000,First,1325000,"Mercedes-Benz C-Class 250 Avantgarde, 2011, Diesel","clean look
well maintained
for more details call my no
ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Type of Car: Sedans
Registration Place: TN
Insurance Type: Zero Dep
Condition: Used
Make Month: October",Chennai Central, Chennai, Tamil Nadu
Hyundai,Grand i10,Magna 1.1 CRDi,2013.0,Diesel,Manual,70000,First,375000,Hyundai Grand i10 2014,"ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: Coupe
Registration Place: TN
Insurance Type: No Insurance
Condition: Used
Make Month: December",KK Nagar, Madurai, Tamil Nadu
Maruti Suzuki,SX4,VXI CNG BS-IV,2010.0,Petrol,Manual,69000,Third,240000,Chevrolet Beat LT- Top model full company maintenance,"Maruthi suzuki SX4 2010 model, Petrol and LPG vehicle.All power window, Electrical adjustment side mirror,All tyre 75% good condition, stepney tyre 50% condition. No tent, minor scratch only. Company music system.",Subramaniyapuram, Tiruchirappalli, Tamil Nadu
Hyundai,Grand I 10,,2017.0,Diesel,Manual,62090,First,375000,Hyundai Grand i10 2014,"2018 Registeration Excellent engine condition, Good New looking, only 2Years and six months old car Single owner only,A/C power steering Audio system Available All four tubeless Radial tyres very good condition
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: White
Air Conditioning: With Heater
Service History: Not Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Vehicle Certified: No
Interior color: Beige
Finance: Yes
Adjustable External Mirror: Manual
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: December
Tyre Condition: New",Anna Nagar, Madurai, Tamil Nadu
Toyota,Corolla,H5 1.8E,2006.0,Petrol,,95000,Second,180000,"Ford Fiesta EXi 1.4, 2006, Diesel","Top model Good Condition
ADDITIONAL VEHICLE INFORMATION:
Display Screen: Yes
Air Conditioning: Automatic Climate Control
Adjustable External Mirror: Power
AM/FM Radio: Yes
Cruise Control: Yes
Power steering: Yes
Adjustable Steering: Yes
Power Windows: Front & rear
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Fog Lamps: Yes",Tondiarpet, Chennai, Tamil Nadu
Volkswagen,Polo,2013-2015 1.5 TDI Trendline,2013.0,Diesel,Manual,130000,First,430000,"Volkswagen Vento Comfortline Diesel, 2013, Diesel","2012 reg 2013 delivery ...
Dealers and time passers stay away only serious buyers are welcome
New tyres
Touch screen monitor
New speakers
With alloy wheel cap
Fancy number
Company service record available
No accidents
Pakka ownboard
Insurance current
Power window
Power steering
Ac chill cooling
New ac nob
Showroom condition
VIP used car with fancy number single owner
If you are interested msg me",Mahal Area, Madurai, Tamil Nadu
Tata,Indica V2,V2 LS,2008.0,Diesel,Manual,95000,First,70000,Ford Ikon 2000 Diesel Well Maintain,"A/C P/S C/L LOCATION:PUDUKKOTTAI(DIST) KARAMBAKKUDI VANIYA STREET. GAS COMPANY OPPOSITE COMPANY MUSIC SYSTEM FULL INSURANCE COMPANY MAINTANCE ALL PAPER CURRENTS
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Silver
Air Conditioning: With Heater
Aux Compatibility: Yes
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Vehicle Certified: Yes
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: Old
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: May
Lock System: Central
Tyre Condition: New",Thillai Nagar, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,,,2016.0,,,60000,,400000,Red taxi ola uber...,I need car,Anna Nagar, Madurai, Tamil Nadu
Hyundai,Santro,,2006.0,Petrol,Manual,70000,Third,100000,"Hyundai Santro, 2005, Petrol","contact more details
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Silver
Air Conditioning: Automatic Climate Control
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front
Warranty: Yes
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1200
Interior color: Grey
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Make Month: June
Lock System: Central
Tyre Condition: New",Chennai Central, Chennai, Tamil Nadu
Hyundai,Elite i20,Sportz 1.4,2016.0,Diesel,Manual,80565,First,595000,Gt. Hyundai New car selling best offer price,"SEAT COVER,FULL MAT. GOOD CONDITIONS
ADDITIONAL VEHICLE INFORMATION:
Make Month: May
Color: Red
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Engine Capacity/Displacement (in Cc): 1396
Power steering: Yes
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Power Windows: Front & rear
Fog Lamps: Yes
Adjustable External Mirror: Power
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Beige
ABS: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: Old
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes",Dheeran Nagar, Tiruchirappalli, Tamil Nadu
Honda,Amaze,2013-2016 E i-Dtech,2017.0,Diesel,Manual,97000,First,550000,"Honda Amaze 1.5 E i-DTEC, 2017, Diesel","ADDITIONAL VEHICLE INFORMATION:
Color: White
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Warranty: Yes
Vehicle Certified: Yes
Interior color: White
Adjustable External Mirror: Manual
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: April
Lock System: Central
Tyre Condition: New
Number of Airbags: None",Nungambakkam New Colony, Chennai, Tamil Nadu
Maruti Suzuki,Zen Estilo,,2008.0,Petrol,Manual,55000,Second,160000,"Maruti Suzuki Wagon R Duo, 2007, CNG & Hybrids","zen Estilo vxi
2008
second owner
inus nil
kms 55 k done
service records
excellent condition
ADDITIONAL VEHICLE INFORMATION:
Color: Gold
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Adjustable External Mirror: Power
Type of Car: Hatchback
Battery Condition: Old
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Make Month: August
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: None",Villapuram, Madurai, Tamil Nadu
Hyundai,Elite i20,Sportz 1.2,2016.0,Diesel,Manual,30000,First,555555,"Volkswagen Polo, 2010, Diesel","HYUNDAI ELITE I20 SPORTZ 1.2 2016 MODEL SINGLE DIESEL VEHICLE IS VERY GOOD CONDITION FINANCE ARRANGED PRICE NEGOTIABLE
ADDITIONAL VEHICLE INFORMATION:
Make Month: October
Color: Blue
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Power steering: Yes
Power Windows: Front & rear
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No",Mylapore, Chennai, Tamil Nadu
Hyundai,i20,1.2 Asta,2014.0,Petrol,Manual,32000,Second,380000,"Hyundai I20 Sportz 1.2, 2012, Diesel","ADDITIONAL VEHICLE INFORMATION:
Make Month: May
Color: White
Type of Car: Hatchback
Insurance Type: Third Party
Condition: Used
Registration Place: TN
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Central
Number of Airbags: 2 airbags
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Exchange: Yes",Ram Nagar, Coimbatore, Tamil Nadu
Maruti Suzuki,Eeco,7 Seater Standard,2012.0,Petrol,Manual,90000,Third,175000,"Hyundai Santro Xing GLS LPG, 2010, LPG","அலங்கார் கார்ஸ் திருச்சி
ADDITIONAL VEHICLE INFORMATION:
Color: Blue
Air Conditioning: Automatic Climate Control
Aux Compatibility: Yes
Anti Theft Device: Yes
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Cruise Control: Yes
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1200
Fog Lamps: Yes
Interior color: Other
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Make Month: January
Lock System: Central
Tyre Condition: New",Thillai Nagar, Tiruchirappalli, Tamil Nadu
Honda,Civic,1.8 V MT,2008.0,Petrol,Manual,86000,Third,300000,Volkswagen Polo 2010 LPG 102000 Km Driven comport line,Want to sell cus of cash emergency,Anna Nagar, Madurai, Tamil Nadu
BMW,M3,Coupe,2017.0,Petrol,Automatic,35000,Second,8000000,BMW M3 2017 Petrol 35000 Km Driven,"It’s a performance car . Gives immense pleasure while driving.
0-100kmph under 4 seconds claimed.
Tuned car for racing.
New wheels for track and street purpose.
Original full Akrapovic exhaust system installed. Open and close valve type through button.
Beautiful pops and crackles at low rpm rev itself.
Modified with passion in cars.
Guaranteed fun to drive car.
Reason for selling : upgrading to a more powerful beemer .",Chennai Central, Chennai, Tamil Nadu
Tata,Indigo XL,Others,2006.0,Diesel,Manual,100000,Fourth,90000,Tata shed for car and all use,"2010 engine and power steering ,power window
Poiner speaker audio system
FC 6 months current
No insurance
4 tyire new",Ahmed Colony, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Eeco,,2011.0,Petrol,,68000,,295000,"Maruti Suzuki Eeco 5 STR WITH A/C+HTR, 2013, Petrol","GOOD CONDITION
ADDITIONAL VEHICLE INFORMATION:
Variant: Eeco 7 STR
Make Month: April
No. of Owners: First
Color: Grey
Transmission: Manual
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Display Screen: Yes
AM/FM Radio: Yes
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Insurance: Yes
Finance: Yes
Exchange: Yes",Villapuram, Madurai, Tamil Nadu
Maruti Suzuki,Alto,2005-2010 STD,2006.0,Petrol,Automatic,80000,Second,125000,"Maruti Suzuki Alto LXi BS-III, 2006, Petrol",Well maintained car ps ac center lock interested person contact number porginers staway no insurance price nogatible low cost people not Chet,Trichy City, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,800,DX 5 Speed,2001.0,CNG & Hybrids,Manual,85000,Third,95000,Car Sale Urgent Money Need for My Function,"Maruti 800 with lpg endorsement ,new battery and fc till 2023",Trichy City, Tiruchirappalli, Tamil Nadu
Hyundai,i10,Magna,2015.0,Petrol,Manual,45000,First,340000,"Hyundai I10 Magna, 2013, Petrol","ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Power Windows: Front
Warranty: Yes
Vehicle Certified: Yes
Finance: Yes
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: June
Tyre Condition: New",Chennai Central, Chennai, Tamil Nadu
Maruti Suzuki,Estilo,VXi,2011.0,Petrol,Manual,48000,First,240000,"Chevrolet Beat LT Diesel, 2014, Diesel","ADDITIONAL VEHICLE INFORMATION:
Color: White
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: November",Nungambakkam, Chennai, Tamil Nadu
