link,value_make,value_model,value_variant,value_year,value_petrol,value_transmission,value_mileage,value_first_owner,itemPrice,itemTitle,itemLocation,itemDescriptionContent
"https://www.olx.in/item/mahindra-xylo-d2-bs-iv-2010-diesel-iid-1591064499
",Mahindra,Xylo,D2 BS IV,2010,Diesel,Manual,"160,000 km",First,"₹ 4,23,000","Chevrolet Tavera Neo SS D1 8-Str BS-III, 2013, Diesel","Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Gold
Air Conditioning: With Heater
USB Compatibility: Yes
Service History: Not Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: New
Power steering: Yes
Adjustable Steering: Yes
Make Month: October
Lock System: Central
Tyre Condition: New"
"https://www.olx.in/item/maruti-suzuki-a-star-2010-petrol-iid-1592080414
",Maruti Suzuki,A-Star,-1,2010,Petrol,Manual,"138,925 km",-1,"₹ 2,40,000",Chevrolet Beat LT- Top model full company maintenance,"Trichy City, Tiruchirappalli, Tamil Nadu","currency : inr, variant: zxi, number of previous owners : first, insurance :comprehensive, registrations number : null
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Registration Place: TN
Insurance Type: Comprehensive
Make Month: January
Vehicle Certified: No"
"https://www.olx.in/item/volkswagen-vento-highline-diesel-2011-diesel-iid-1587434078
",Volkswagen,Vento,2010-2013 Diesel Highline,2011,Diesel,Manual,"82,000 km",First,"₹ 4,65,000","Volkswagen Vento Highline Diesel, 2014, Diesel","Thillai Nagar, Tiruchirappalli, Tamil Nadu","AC PS PW CL ABS AIRBAGS ALLOY WHEEL COMPANY SERVICE RECORD LOCATION; PUDUKKOTTAI (DIS) KARAMBAKKUDI VANIYA STREET. GAS OFFICE OPPOSIT COMPANY MUSIC SYSTEM FULL INSURANCE COMPANY maintenance all paper current SUNDAY OFFICE OPEN
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: White
Air Conditioning: Automatic Climate Control
Aux Compatibility: Yes
USB Compatibility: Yes
Service History: Available
Anti Theft Device: Yes
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Parking Sensors: Yes
Rear Parking Camera: Yes
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Display Screen: Yes
Adjustable External Mirror: Power
Exchange: Yes
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
ABS: Yes
Power steering: Yes
Adjustable Steering: Yes
Make Month: March
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: 2 airbags"
"https://www.olx.in/item/maruti-suzuki-eeco-5-str-with-achtr-2018-petrol-iid-1590016160
",Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,2018,Petrol,Manual,"25,000 km",First,"₹ 3,85,000",2015 Hyundai I10 petrol 36000 Kms,"Terkku Vasal, Madurai, Tamil Nadu","EECO WITH A/C + HTR 2018 Single owner 25000 Kilometres only Leather seats
ADDITIONAL VEHICLE INFORMATION:
Make Month: September
Color: White
Type of Car: Luxury
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No"
"https://www.olx.in/item/toyota-innova-20-v-2014-diesel-iid-1581801146
",Toyota,Innova,2004-2011 2.0 V,2014,Diesel,Manual,"62,000 km",First,"₹ 13,75,000","Toyota INNOVA CRYSTA 2.4 GX Manual 8S, 2016, Diesel","Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: SUV
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: December"
"https://www.olx.in/item/kwid-2016-well-maintance-iid-1586553850
",Renault,KWID,RXT,2016,Petrol,Manual,"98,000 km",First,"₹ 3,95,000",Ford Figo 2015 Diesel Well Maintained,"Kailash Nagar, Tiruchirappalli, Tamil Nadu",KWID with good condition and good maintance
"https://www.olx.in/item/wagonr-2006-petrol-iid-1591481149
",Maruti Suzuki,Wagon R,LXI,2006,Petrol,Manual,"71,000 km",First,"₹ 75,000",Good condition,"Perambur, Chennai, Tamil Nadu","single owner
good condition
genuine vehicle"
"https://www.olx.in/item/tatamacra-polo-school-bus-iid-1508758099
",-1,-1,-1,2012,-1,-1,"75,000 km",-1,"₹ 5,25,000",Mahindra school bus,"Adaikala Annai Nagar, Tiruchirappalli, Tamil Nadu","Tata marcapolo school bus owner 1 tax 31.3.19 ic 1.6.19 PC 1.7.19 sri malaiyandawer auto consulting Tata,sml,eicher, mahindra, ashok leyland all school bus and staff bus sales"
"https://www.olx.in/item/maruti-suzuki-alto-800-lxi-2014-petrol-iid-1591542843
",Maruti Suzuki,Alto 800,2012-2016 LXI,2014,Petrol,Manual,"38,000 km",Second,"₹ 2,40,000","Maruti Suzuki Alto 800 Lxi, 2014, Petrol","Mullai Nagar, Madurai, Tamil Nadu","Pkka Conditoin Car 2nd Owner Madurai Address Original Paint Engine 100% Chill AC Power Steering Power Windows Very Good Tyres
Low Bargainer / Dealers Dont Call
Ready Cash Buyer Call Me
All Docment Very Clear
ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Air Conditioning: With Heater
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Display Screen: Yes
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: October
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New"
"https://www.olx.in/item/hyundai-grand-i-10-2018-petrol-iid-1592352557
",Hyundai,Grand I 10,-1,2018,Petrol,Manual,"7,000 km",First,"₹ 5,50,000","Hyundai Xcent SX 1.2, 2015, Diesel","Terkku Vasal, Madurai, Tamil Nadu","Grand i10 SPORTS 2018-19 Single owner Just 7000 kilometres only Madurai registration Dual Airbags, Abs OVRM MIRRORS Touch screen system Reverse camera with sensor Steering mount control
ADDITIONAL VEHICLE INFORMATION:
Make Month: December
Color: Red
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Power steering: Yes
Automatic Boot: Yes
Air Conditioning: With Heater
Power Windows: Front & rear
Fog Lamps: Yes
Adjustable External Mirror: Power
Display Screen: Yes
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes
Exchange: Yes"
